author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
"Szczygieł, Mariusz",Kiev,2013,pol,ukr
"edited by Krzysztof Trybus, Michael Düring and Maciej Junkiert.",Frankfurt am Main,2018,pol,ger
"Miłosz, Czesław",Skopje,2013,pol,mac
"Gombrowicz, Witold",Baku,2015,pol,aze
"Koročenskij, Aleksandr Petrovič",Sosnowiec,2015,rus,pol
"Witkiewicz, Stanisław Ignacy",Kiev,2013,pol,ukr
"Wnuk, Waldemar","Bloomington, IN",2017,pol,eng
"Anna Weigl, Norbert Nübler, Miriam Völkel-Bill, Yana Movchan, Tomasz Lis, Damian Mrowiński (Hrsg.).",Hamburg,2018,pol,ger
"Sławek, Tadeusz",Frankfurt am Main,2014,pol,eng
"Zabużko, Oksana",Kiev,2014,pol,ukr
"edited by Krzysztof Trybus, Michael Düring and Maciej Junkiert.",Berlin,2018,pol,ger
"edited by Krzysztof Trybus, Michael Düring and Maciej Junkiert.",Frankfurt am Main,2018,pol,ger
"Zagajewski, Adam",Tübingen,2018,ger,ger
"Wnuk, Waldemar","Bloomington, IN",2017,pol,eng
"Rowling, J. K.",Poznań,2017,eng,pol
"Wnuk, Waldemar","Bloomington, IN",2017,pol,eng
Teresa Pękala (ed.),Frankfurt am Main,2017,pol,eng
"Bocheński, Jacek",,2014,pol,ukr
,Wrocław,2016,,pol
"Kosmowska, Barbara",Harkìv,2017,pol,ukr
"w przekł. Piotra Poznańczyka (1535, 1541)",Łódź,2013,lat,pol
"Abbott, Simon",Ożarów Mazowiecki,2016,eng,pol
"Abbott, Simon",Ożarów Mazowiecki,2016,eng,pol
Teresa Pękala (ed.),Frankfurt am Main,2017,pol,eng
[zostavil Marek Zaleski,Bratislava,2015,pol,slo
za red. Tamari Gundorovoï ì Agnêški Matusâk.,Kiev,2014,eng,ukr
"Mackiewicz, Józef",London,2015,rus,pol
,Łódź,2018,eng,pol
Teresa Pękala (ed.),Frankfurt am Main,2017,pol,eng
"Kogge, Michael",Poznań,2016,eng,pol
teksty recenzowane pod kier. Romana Słowińskiego,Poznań,2013,,pol
"Stasiuk, Andrzej",L'vìv,2015,pol,ukr
"Viola Vološin, Pšemek Liput",Novi Sad,2018,pol,srp
[tłumaczenie z języka angielskiego Marek Starosta].,Warszawa,2019,eng,pol
"w przekł. Piotra Poznańczyka (1535, 1541)",Łódź,2013,lat,pol
urednik Deǰan Aǰdačić,Beograd,2016,bul,srp
"Szymborska, Wisława",,2019,pol,chi
"Tokarczuk, Olga",,2020,pol,ger
[edited by Gabriela Dul,Kraków,2020,pol,eng
"Kuberska, Alicja Maria",,2020,pol,ara
"Jordan, Nicole",Warszawa,2017,eng,pol
"Mielech, Agnieszka",L'vìv,2020,pol,ukr
Stefan,Budapest,2019,lat,pol
"Millman, Dan",Poznań,2020,eng,pol
"Miłosz, Czesław",,2019,eng,chi
"Adrian Gleń, Jacek Gutorow, Łukasz Musiał, Daniel Pietrek (Hg.)",Göttingen,2020,pol,ger
"Rusinek, Michał",,2019,pol,chi
"Czerwińska-Rydel, Anna",,2018,pol,chi
"Liggett, Kim",Poznań,2021,eng,pol
[tłumaczenie: Ewa Kleszcz],Novara,2021,,pol
[tłumaczenie: Ewa Kleszcz],Novara,2021,,pol
"Hancock, Anne Mette",Białystok,2021,dan,pol
"Gałkowski, Artur",Łódź,2015,pol,pol
"Smethurst, Sue.",Roma,2021,eng,ita
"Mrożek, Sławomir",Lausanne,2021,pol,fre
"Wicha, Marcin",Riga,2021,pol,lav
"Tokarczuk, Olga",Vilnius,2021,pol,lit
"Tokarczuk, Olga",Vilnius,2020,pol,lit
"Myśliwski, Wiesław",Amsterdam,2018,pol,dut
"Norwid, Cyprian Kamil",,2021,pol,fre
"Walden, Libby",Warszawa,2021,eng,pol
"[sostaviteli: Pavel Laudanskij, Leonid Kudrâvcev].",Moskva,2020,pol,rus
"Jurčič, Josip",,2021,slv,pol
"Duggan, Gerry",Warszawa,2021,eng,pol
"Lem, Tomasz",Wiesbaden,2021,pol,ger
"Paszkiewicz-Jägers, Joanna",Rotterdam,2021,pol,dut
"Defoe, Daniel",Piaseczno,2021,eng,
"Pierce, Tamora",Warszawa,2021,eng,pol
"Anouilh, Jean",Warszawa,2021,fre,pol
"Walter, Jess",Warszawa,2021,eng,pol
"Sapkowski, Andrzej",Budapest,2019,pol,hun
"DeWitt, Patrick",Warszawa,2021,eng,pol
"Greaney, Mark",Warszawa,2021,eng,pol
"Miłoszewski, Zygmunt",Moskva,2021,pol,rus
"Hoover, Colleen",Kraków,2021,eng,pol
"Landero, Luis",Katowice,2021,spa,pol
"Parny, Évariste de",Warszawa,2021,fre,pol
"Kazantzakis, Nikos",Kraków,2021,gre,pol
"Evans, Richard Paul",Kraków,2021,eng,pol
"Adiga, Aravind",Warszawa,2020,eng,pol
"Dežulović, Boris",Warszawa,2021,hrv,pol
"Funke, Cornelia",Warszawa,2021,ger,pol
"Feldman, Deborah",Warszawa,2021,eng,pol
"Korelitz, Jean Hanff",Warszawa,2020,eng,pol
"Austen, Jane",Warszawa,2020,eng,pol
"Austen, Jane",Warszawa,2021,eng,pol
"Brontë, Emily",Warszawa,2021,eng,pol
"Brontë, Charlotte",Warszawa,2021,eng,pol
"Feldman, Deborah",Warszawa,2020,eng,pol
"Davies, Benji",Kraków,2021,eng,pol
"Davies, Benji",Kraków,2021,eng,pol
"Bond, Michael",Kraków,2021,eng,pol
"Cantalamessa, Raniero",Kraków,2021,ita,pol
"Levine, Gail Carson",Warszawa,2020,eng,pol
"West, Tracey",Łódź,2021,eng,pol
"Gombrowicz, Witold",Kraków,2021,dut,pol
"Woolf, Virginia",Kraków,2021,eng,pol
"Martinez, Agustin",Kraków,2021,spa,pol
"Lerner, Ben",Kraków,2021,eng,pol
"Gudsnuk, Kristen.",Warszawa,2021,eng,pol
"Bonelli, Sergio",,2021,ita,pol
[scenariusz Mark Millar i Chuck Austen,Warszawa,2021,eng,pol
"Natt och Dag, Niklas",Katowice,2021,swe,pol
[tłumaczenie z języka angielskiego: Marek Starosta].,Warszawa,2021,eng,pol
"Morgenstern, Erin",Warszawa,2020,eng,pol
"Morgenstern, Erin",Warszawa,2020,eng,pol
"Montimore, Margarita",Warszawa,2021,eng,pol
tłumaczenie z  języka angielskiego: Marek Starosta.,Warszawa,2021,eng,pol
"Sanderson, Jane",Kraków,2021,eng,pol
"Mackiewicz, Józef",,2021,pol,hun
"postać Johna Constantina stworzyli Alan Moore, Steve Bissette, John Totleben, Jamie Delano i John Ridgeway",Warszawa,2021,eng,pol
"Szary, Adrian",Wieluń,2021,pol,pol
rysunki CJ Cannon,Warszawa,2021,eng,pol
"Lusenti, Natascha",Kraków,2021,ita,pol
"Ebert, Sabine",Katowice,2021,ger,pol
"Ebert, Sabine",Katowice,2021,ger,pol
"Ebert, Sabine",Katowice,2021,ger,pol
"Baker, Chandler",Katowice,2021,eng,pol
"Markowski, Michał Paweł",Stockholm,2017,pol,swe
"Rice, Morgan",,2018,eng,pol
"Leblanc, Maurice",,2020,fre,pol
"Leblanc, Maurice",,2020,fre,pol
"Roca, Elisenda",Katowice,2021,cat,pol
"Roca, Elisenda",Katowice,2021,cat,pol
"Bunda, Martyna",Praha,2021,pol,cze
"Chien Chow Chine, Aurélie",Katowice,2021,fre,pol
"Mezrich, Ben",Warszawa,2021,eng,pol
"Domosławski, Artur",Amsterdam,2013,pol,dut
"Prus, Bolesław",Amsterdam,2015,pol,dut
"Osorio-Mrożek, Susana",Kraków,2021,,pol
"Lark, Sarah",Katowice,2021,,
"Lark, Sarah",Katowice,2021,ger,pol
"Lark, Sarah",Katowice,2021,ger,pol
"Robson, Jennifer",Kraków,2021,eng,pol
[tłumaczenie: Natalia Mętrak-Ruda],Novara,2021,,pol
[tłumaczenie: Natalia Mętrak-Ruda],,,,pol
"Bunda, Martyna",Berlin,2019,pol,ger
"Iwaszkiewicz, Jarosław",,2021,pol,chi
"Iwaszkiewicz, Jarosław",,2021,pol,chi
"Iwaszkiewicz, Jarosław",,2021,pol,chi
"Baudet, Stephanie",Piaseczno,2021,eng,pol
"Gooden, Philip.",Piaseczno,2021,eng,pol
"Estes, Kurtis Lee",Łódź,2021,eng,pol
"Deutsch, Stacia",Łódź,2021,eng,pol
"Deutsch, Stacia",Łódź,2021,eng,pol
"Turner, Brian",Radom,2015,eng,pol
[sudarė ir parengė Ona Dilytė-Čiurinskienė].,Vilnius,2020,lat,lit
"Hund, Olga",Banská Bystrica,2020,pol,slo
"Jimenez, Abby",Warszawa,2021,eng,pol
"Andersen, Yvonne",Warszawa,2021,nob,pol
"Andersen, Yvonne",Warszawa,2021,nob,pol
"Wodecka, Margarita",Sieradz,2021,rus,pol
"Di Corte, Bella",Warszawa,2021,eng,pol
"Podgórska, Anna",Ostrava,2014,pol,cze
"Podgórska, Anna",Ostrava,2014,pol,cze
"Podgórska, Anna",Ostrava,2014,pol,cze
[adaptacja na podstawie oryginalnego tekstu Williama Shakespeare'a,Piaseczno,2021,eng,pol
"Buchanan, Erin",Warszawa,2021,ger,pol
"Julian, Leslie",Warszawa,2021,ger,pol
"Read, Birgit",Warszawa,2021,ger,pol
"Julian, Leslie",Warszawa,2021,ger,pol
"Kristiansen, Else Berit",Warszawa,2021,nor,pol
"Kristiansen, Else Berit",Warszawa,2021,nor,pol
"Lem, Stanisław",,2021,pol,dan
"March, Meghan",Gliwice,2021,eng,pol
"Glück, Louise",Kraków,2021,eng,pol
"Brown, Ryk",Piaseczno,2021,eng,
"Tarakson, Stella",Piaseczno,2021,eng,
"Tarakson, Stella",Piaseczno,2021,eng,
"Vesper, Inga",Warszawa,2021,eng,pol
"Lem, Stanisław",Moskva,2021,pol,rus
"Jackson, A. L.",Warszawa,2021,eng,pol
"Beckett, Simon",Warszawa,2021,eng,pol
"March, Meghan",Gliwice,2021,eng,pol
"Yoon, David",Poznań,2021,eng,pol
"Yoon, Nicola",Poznań,2021,eng,pol
"Yalom, Irvin D.",Warszawa,2021,eng,pol
"James, Marlon",Warszawa,2021,eng,pol
"Nesser, Håkan",Warszawa,2021,swe,pol
"Ginczanka, Zuzanna",Kiev,2020,pol,ukr
"Sapkowski, Andrzej",Moskva,2020,pol,rus
"Komuda, Jacek",Moskva,2021,pol,rus
"Miszczuk, Katarzyna Berenika",Moskva,2021,pol,rus
"Miszczuk, Katarzyna Berenika",Moskva,2021,pol,rus
"Raabe, Melanie",Warszawa,2020,ger,pol
"Tudor, C. J.",Warszawa,2020,eng,pol
"Donaldson, Julia",Warszawa,2021,eng,pol
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Bouvier, Nicolas",Warszawa,2021,fre,pol
"Lupton, Rosamund",Warszawa,2020,eng,
